date,signal_strategy,equal_weight
2022-09-16,1343904.8695757156,972130.0955639255
2022-09-19,1354051.2562075674,979309.2969986439
2022-09-20,1340516.5757303638,969520.6436807779
2022-09-21,1323235.5304139566,956351.4977709426
2022-09-22,1311872.1306243835,942759.7053220076
2022-09-23,1292113.569823193,926640.41267903
2022-09-26,1280642.852621995,917705.5523637187
2022-09-27,1277208.562075324,918154.0544474787
2022-09-28,1302193.690043841,936051.0239777698
2022-09-29,1269708.3980552377,909376.4808237257
2022-09-30,1254727.9025622709,898176.9875935647
2022-10-03,1275481.420776676,914445.1666819147
2022-10-04,1307163.6302205836,939369.3145887686
2022-10-05,1303914.5480355998,935047.2768239586
2022-10-06,1295646.670985466,928800.9193007555
2022-10-07,1238202.111684614,889316.6415829274
2022-10-10,1225279.2687110663,881085.9644698318
2022-10-11,1211664.3773903865,871858.5074512445
2022-10-12,1212480.8590915075,872343.8973672045
2022-10-13,1235970.243075433,889589.837666285
2022-10-14,1206662.672158735,863353.6239529256
2022-10-17,1241289.4782190148,892535.6909445481
2022-10-18,1240216.4220210682,896116.9743061163
2022-10-19,1237167.3755681203,892447.975446337
2022-10-20,1229221.9796036195,887516.6268987245
2022-10-21,1255395.147756213,903767.8158503775
2022-10-24,1261394.668499565,908343.0628027599
2022-10-25,1297023.1947632597,930187.1694076088
2022-10-26,1271391.2776439725,908460.634143041
2022-10-27,1253700.1946320927,883455.4955735139
2022-10-28,1300322.2203073318,907101.6717818471
2022-10-31,1279360.5973915446,891989.7665336635
2022-11-01,1267744.542710507,884975.9899202193
2022-11-02,1236165.0193166835,860101.9836552166
2022-11-03,1224282.6059609335,850536.490510503
2022-11-04,1252131.4770142154,866472.9894375139
2022-11-07,1264965.3134840322,873256.3685883377
2022-11-08,1269575.040752184,875628.2149632407
2022-11-09,1239698.8451970676,855198.5886332057
2022-11-10,1346047.0041619968,920830.9477470651
2022-11-11,1377403.525688947,939793.2095716241
2022-11-14,1370912.2532825428,933320.3361589711
2022-11-15,1389828.9993224733,946306.724509551
